           1           0           1          59          60          61
           2           0          59           5          62          63
           3           0          60          62           6          64
           4           0          61          63          64           7
           5           0          63          59          60          61
           6           0          59          60          62          63
           7           0          60          62          63          64
           8           0          61          63          64          60
           9           0           5          65          66          67
          10           0          65           2          68          69
          11           0          66          68           8          70
          12           0          67          69          70           9
          13           0          69          65          66          67
          14           0          65          66          68          69
          15           0          66          68          69          70
          16           0          67          69          70          66
          17           0           6          71          72          73
          18           0          71           8          74          75
          19           0          72          74           3          76
          20           0          73          75          76          10
          21           0          75          71          72          73
          22           0          71          72          74          75
          23           0          72          74          75          76
          24           0          73          75          76          72
          25           0           7          77          78          79
          26           0          77           9          80          81
          27           0          78          80          10          82
          28           0          79          81          82           4
          29           0          81          77          78          79
          30           0          77          78          80          81
          31           0          78          80          81          82
          32           0          79          81          82          78
          33           0           9          83          84          85
          34           0          83           5          86          87
          35           0          84          86           6          88
          36           0          85          87          88           7
          37           0          87          83          84          85
          38           0          83          84          86          87
          39           0          84          86          87          88
          40           0          85          87          88          84
          41           0           5          89          90          91
          42           0          89           6          92          93
          43           0          90          92           8          94
          44           0          91          93          94           9
          45           0          93          89          90          91
          46           0          89          90          92          93
          47           0          90          92          93          94
          48           0          91          93          94          90
          49           0           6          95          96          97
          50           0          95           8          98          99
          51           0          96          98           9         100
          52           0          97          99         100          10
          53           0          99          95          96          97
          54           0          95          96          98          99
          55           0          96          98          99         100
          56           0          97          99         100          96
          57           0           7         101         102         103
          58           0         101           9         104         105
          59           0         102         104          10         106
          60           0         103         105         106           6
          61           0         105         101         102         103
          62           0         101         102         104         105
          63           0         102         104         105         106
          64           0         103         105         106         102
